Team,Copper,Snapshot Date
FYER,2372067,2026-04-18
ETOA,2370602,2026-04-18
ROKK,2250669,2026-04-18
FEU,2239200,2026-04-18
PNAS,2226793,2026-04-18
HOPE,2164601,2026-04-18
UFO,2151787,2026-04-18
WRC,2137136,2026-04-18
ZMBY,2106080,2026-04-18
ATUM,2103802,2026-04-18
EVGS,2097631,2026-04-18
MXP,2088623,2026-04-18
ETRE,2066969,2026-04-18
RISE,2020811,2026-04-18
TNTX,1979204,2026-04-18
OGM,1924967,2026-04-18
ETRR,1895898,2026-04-18
HAVK,1870866,2026-04-18
MAAX,1867278,2026-04-18
HPRO,1834024,2026-04-18
UPER,1720392,2026-04-18
OKM,1683522,2026-04-18
SPAS,1682129,2026-04-18
B33,1679343,2026-04-18
BAKS,1675280,2026-04-18
AZI,1657350,2026-04-18
WARS,1626674,2026-04-18
OFFJ,1617121,2026-04-18
E404,1610550,2026-04-18
815K,1606930,2026-04-18
OPPA,1589182,2026-04-18
GDNS,1572802,2026-04-18
SANC,1537945,2026-04-18
MORT,1512749,2026-04-18
VALR,1490010,2026-04-18
BTFC,1402558,2026-04-18
NZM,1367207,2026-04-18
GONI,1334708,2026-04-18
RLPX,1327662,2026-04-18
EKOS,1307381,2026-04-18
