Team,Server,Faction
15N,1196,Kage no Sato
a0a,1196,Kage no Sato
CBT,1196,Kage no Sato
EVGS,1196,Kage no Sato
FORG,1196,Kage no Sato
HPRO,1196,Kage no Sato
K1L,1196,Kage no Sato
LAUP,1196,Kage no Sato
LAZO,1196,Kage no Sato
MAAX,1196,Kage no Sato
NYMD,1196,Kage no Sato
OFFJ,1196,Kage no Sato
TEN1,1196,Kage no Sato
UFO,1196,Kage no Sato
XUX,1196,Kage no Sato
CLWN,1237,Kage no Sato
E404,1237,Kage no Sato
EKOS,1237,Kage no Sato
IRD2,1237,Kage no Sato
MDNT,1237,Kage no Sato
OHMS,1237,Kage no Sato
OYK,1237,Kage no Sato
QUAN,1237,Kage no Sato
ROWW,1237,Kage no Sato
TNTX,1237,Kage no Sato
W46,1237,Kage no Sato
WLLF,1237,Kage no Sato
AO5,1242,Kage no Sato
BAKS,1242,Kage no Sato
BNCR,1242,Kage no Sato
BRIC,1242,Kage no Sato
LDRA,1242,Kage no Sato
LEOI,1242,Kage no Sato
MORT,1242,Kage no Sato
ROKK,1242,Kage no Sato
SAML,1242,Kage no Sato
TDO,1242,Kage no Sato
WARS,1242,Kage no Sato
815K,1252,Kage no Sato
ETOA,1252,Kage no Sato
ETRE,1252,Kage no Sato
ETRR,1252,Kage no Sato
FYDL,1252,Kage no Sato
GWN,1252,Kage no Sato
KBM,1252,Kage no Sato
KZQZ,1252,Kage no Sato
OKM,1252,Kage no Sato
PIR4,1252,Kage no Sato
ROKG,1252,Kage no Sato
RR6,1252,Kage no Sato
SPG1,1252,Kage no Sato
VODL,1252,Kage no Sato
B33,1194,Koubutai
BROD,1194,Koubutai
BROO,1194,Koubutai
BTFC,1194,Koubutai
NZM,1194,Koubutai
OPPA,1194,Koubutai
PNAS,1194,Koubutai
SPRR,1194,Koubutai
VALR,1194,Koubutai
YAN8,1194,Koubutai
ZMBY,1194,Koubutai
ZONE,1194,Koubutai
340G,1220,Koubutai
ATUM,1220,Koubutai
AZI,1220,Koubutai
LYR,1220,Koubutai
NYXX,1220,Koubutai
O815,1220,Koubutai
RUNE,1220,Koubutai
SPAS,1220,Koubutai
TSOE,1220,Koubutai
UAC,1220,Koubutai
UPER,1220,Koubutai
V1PS,1220,Koubutai
WASS,1220,Koubutai
17GZ,1234,Koubutai
BUNS,1234,Koubutai
FEU,1234,Koubutai
HOPE,1234,Koubutai
INTL,1234,Koubutai
MXP,1234,Koubutai
MXP2,1234,Koubutai
OCS,1234,Koubutai
OGM,1234,Koubutai
REVA,1234,Koubutai
RHCP,1234,Koubutai
RISE,1234,Koubutai
RLPX,1234,Koubutai
S700,1234,Koubutai
7VEK,1247,Koubutai
BOM8,1247,Koubutai
FYER,1247,Koubutai
GDNS,1247,Koubutai
GONI,1247,Koubutai
HAVK,1247,Koubutai
IU99,1247,Koubutai
ROKS,1247,Koubutai
SANC,1247,Koubutai
TII,1247,Koubutai
UFFO,1247,Koubutai
WATT,1247,Koubutai
WRC,1247,Koubutai
XESS,1247,Koubutai
BAMM,1242,Kage no Sato
NEX4,1194,Koubutai
PYL,1237,Kage no Sato
LOS7,1234,Koubutai
WBBS,1237,Kage no Sato
SOAK,1252,Kage no Sato
KA20,1220,Koubutai
Q68C,1234,Koubutai
SF25,1252,Kage no Sato
